File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
1861fc01-237a-4601-9ef6-d39f59a864eb	5e388d08-dbe1-47bb-9adc-c0f77da29ecc.wgs.ASCAT.gene_level.copy_number_variation.tsv	Copy Number Variation	Gene Level Copy Number	CPTAC-3	C3L-02891, C3L-02891	C3L-02891-31, C3L-02891-03	Blood Derived Normal, Primary Tumor
fea943e7-0d4c-471d-8212-5ce0394e74ce	af72c249-e75f-479c-8d38-a712c1e5f8e6.wgs.ASCAT.gene_level.copy_number_variation.tsv	Copy Number Variation	Gene Level Copy Number	CPTAC-3	C3N-01408, C3N-01408, C3N-01408	C3N-01408-02, C3N-01408-71, C3N-01408-31	Primary Tumor, Blood Derived Normal, Blood Derived Normal
4b5499c4-6607-4e29-92b7-4db1c4411fa9	e64ff57d-0034-49e6-b0fd-bc70425aa047.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-02150	C3N-02150-06	Solid Tissue Normal
4ef2e278-f157-49d0-ab7d-05aad623668d	d9c920d7-47c1-48ca-bc66-8115ea58acfd.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-03877	C3N-03877-03	Solid Tissue Normal
8448fe40-85ca-4933-b3d7-2ce225157223	3bd0dffc-5a25-4ff8-8dbb-aa96e6070291.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-01017	C3N-01017-06	Solid Tissue Normal
e2a4cf03-0b12-477c-b292-c238627c3071	e2a03b03-5cea-4566-9052-65189892c042.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-00552	C3N-00552-06	Solid Tissue Normal
818cd8d3-cb35-4bcc-a2cd-424bc56f43dd	1aaa3fb7-26da-4a10-88e7-43070eb38c44.wgs.ASCAT.gene_level.copy_number_variation.tsv	Copy Number Variation	Gene Level Copy Number	CPTAC-3	C3L-00445, C3L-00445	C3L-00445-31, C3L-00445-01	Blood Derived Normal, Primary Tumor
abd77d95-b511-4f29-b0ef-0aa9c4d802b0	9449a9b6-b3f5-46a1-a199-57fa97606e26.wgs.ASCAT.gene_level.copy_number_variation.tsv	Copy Number Variation	Gene Level Copy Number	CPTAC-3	C3N-02237, C3N-02237	C3N-02237-03, C3N-02237-71	Primary Tumor, Blood Derived Normal
232e8263-5736-4382-af93-e75368c8ab09	3ba9a0ec-797f-4196-9fe4-f68089aceff1.wgs.ASCAT.gene_level.copy_number_variation.tsv	Copy Number Variation	Gene Level Copy Number	CPTAC-3	C3N-04155, C3N-04155	C3N-04155-71, C3N-04155-01	Blood Derived Normal, Primary Tumor
355ece37-104b-43d1-a5e4-62cbed5ac0a4	2bb7066c-2629-432a-a972-91da79264296.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	CPTAC-3	C3N-03420	C3N-03420-09	Solid Tissue Normal
